date,areaname,count
w/c 2020-06-15,South Ayrshire,4
w/c 2020-06-15,Stirling,0
w/c 2020-06-15,Scottish Borders,1
w/c 2020-06-15,Shetland Islands,0
w/c 2020-06-15,Argyll and Bute,0
w/c 2020-06-15,City of Edinburgh,6
w/c 2020-06-15,Aberdeen City,1
w/c 2020-06-15,Aberdeenshire,3
w/c 2020-06-15,Highland,0
w/c 2020-06-15,Falkirk,2
w/c 2020-06-15,Inverclyde,2
w/c 2020-06-15,East Renfrewshire,1
w/c 2020-06-15,Na h-Eileanan Siar,0
w/c 2020-06-15,North Ayrshire,0
w/c 2020-06-15,Orkney Islands,0
w/c 2020-06-15,Midlothian,1
w/c 2020-06-15,Moray,0
w/c 2020-06-22,South Ayrshire,0
w/c 2020-06-22,South Lanarkshire,7
w/c 2020-06-22,Shetland Islands,0
w/c 2020-06-22,Aberdeen City,1
w/c 2020-06-22,Aberdeenshire,2
w/c 2020-06-22,Stirling,0
w/c 2020-06-22,Midlothian,0
w/c 2020-06-22,Moray,0
w/c 2020-06-22,Inverclyde,2
w/c 2020-06-22,Orkney Islands,0
w/c 2020-06-22,Scottish Borders,0
w/c 2020-06-22,North Ayrshire,1
w/c 2020-06-22,East Dunbartonshire,1
w/c 2020-06-22,Fife,3
w/c 2020-06-22,Dundee City,1
w/c 2020-06-22,Glasgow City,3
w/c 2020-06-22,North Lanarkshire,4
w/c 2020-06-22,Perth and Kinross,1
w/c 2020-06-22,City of Edinburgh,2
w/c 2020-06-22,Renfrewshire,1
w/c 2020-06-22,Argyll and Bute,0
w/c 2020-06-22,West Lothian,2
w/c 2020-06-22,Angus,0
w/c 2020-06-22,West Dunbartonshire,1
w/c 2020-06-22,East Lothian,0
w/c 2020-06-22,East Renfrewshire,0
w/c 2020-06-22,East Ayrshire,0
w/c 2020-06-22,Falkirk,3
w/c 2020-06-22,Highland,0
w/c 2020-06-22,Na h-Eileanan Siar,0
w/c 2020-06-22,Dumfries and Galloway,0
w/c 2020-06-22,Clackmannanshire,0

