Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200312,S08000031,10,32,2.70471296233687,0.0281442392260334,0,0,0,1105,93.3971194806951
20200312,S08000032,0,9,1.35972201238858,0.0211764705882353,0,0,0,416,62.8493730170721
20200313,S08000015,1,8,2.16590859865714,0.0287769784172662,0,0,0,270,73.0994152046784
20200313,S08000016,1,5,4.32862955588261,0.040983606557377,0,0,0,117,101.289931607653
20200313,S08000017,0,0,0,0,0,0,0,192,128.980249899234
20200313,S08000019,3,11,3.58726845812679,0.0335365853658537,0,0,0,317,103.378554656927
20200313,S08000020,2,16,2.73177394570599,0.062015503875969,0,0,0,242,41.3180809288031
20200313,S08000022,4,6,1.86509170034193,0.03125,0,0,0,186,57.8178427105999
20200313,S08000024,3,27,2.9749443575222,0.0248161764705882,0,1,0.110183124352674,1061,116.904294938187
20200313,S08000025,0,0,0,0,0,0,0,11,49.3938033228559
20200313,S08000026,11,24,104.712041884817,0.39344262295082,0,0,0,37,161.431064572426
20200313,S08000028,0,0,0,0,0,0,0,16,59.8802395209581
20200313,S08000029,1,9,2.40931602195155,0.045,0,0,0,191,51.1310400214161
20200313,S08000030,2,15,3.59307255611182,0.0490196078431373,0,0,0,291,69.7056075885692
20200313,S08000031,11,43,3.63445804314017,0.0324528301886792,0,0,0,1282,108.357563053621
20200313,S08000032,8,17,2.56836380117843,0.0333333333333333,0,0,0,493,74.4825502341743
20200314,S08000015,0,8,2.16590859865714,0.0264026402640264,0,0,0,295,79.8678795754819
20200314,S08000016,0,5,4.32862955588261,0.0384615384615385,0,0,0,125,108.215738897065
20200314,S08000017,0,0,0,0,0,0,0,209,140.400376192396
20200314,S08000019,5,16,5.21784503000261,0.0443213296398892,0,0,0,345,112.509783459431
20200314,S08000020,0,16,2.73177394570599,0.0588235294117647,0,0,0,256,43.7083831312959
20200314,S08000022,0,6,1.86509170034193,0.0289855072463768,0,0,0,201,62.4805719614548
20200314,S08000024,3,30,3.30549373058022,0.02615518744551,0,1,0.110183124352674,1117,123.074549901937
20200314,S08000025,0,0,0,0,0,0,0,11,49.3938033228559
20200314,S08000026,0,24,104.712041884817,0.375,0,0,0,40,174.520069808028
20200314,S08000028,0,0,0,0,0,0,0,17,63.622754491018
20200314,S08000029,0,9,2.40931602195155,0.0428571428571429,0,0,0,201,53.8080578235845
20200314,S08000030,1,16,3.83261072651927,0.0484848484848485,0,0,0,314,75.2149855079407
20200314,S08000031,5,48,4.05706944350531,0.0330123796423659,2,2,0.169044560146055,1406,118.838325782676
20200314,S08000032,4,21,3.17268469557335,0.0380434782608696,0,0,0,531,80.2235987309261
20200315,S08000015,1,9,2.43664717348928,0.0275229357798165,0,0,0,318,86.0948667966212
20200315,S08000016,0,5,4.32862955588261,0.0352112676056338,0,0,0,137,118.604449831183
20200315,S08000017,1,1,0.671772134891845,0.0045662100456621,0,0,0,218,146.446325406422
20200315,S08000019,1,17,5.54396034437777,0.0445026178010471,0,0,0,365,119.032089746935
20200315,S08000020,1,17,2.90250981731262,0.0590277777777778,0,0,0,271,46.2694212053953
20200315,S08000022,0,6,1.86509170034193,0.0277777777777778,0,0,0,210,65.2782095119677
20200315,S08000024,2,32,3.52585997928557,0.0265339966832504,0,1,0.110183124352674,1174,129.354987990039
20200315,S08000025,0,0,0,0,0,0,0,12,53.8841490794791
20200315,S08000026,0,24,104.712041884817,0.375,0,0,0,40,174.520069808028
20200315,S08000028,0,0,0,0,0,0,0,18,67.3652694610778
20200315,S08000029,2,11,2.94471958238522,0.0495495495495495,0,0,0,211,56.4850756257529
20200315,S08000030,2,18,4.31168706733418,0.0515759312320917,0,0,0,331,79.2871344048674
