Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200306,S12000008,East Ayrshire,0,0,0,0,0,0,0,33,27.0469633636587
20200306,S12000010,East Lothian,0,0,0,0,0,0,0,37,34.550378186572
20200306,S12000011,East Renfrewshire,1,1,1.04679158379567,0.0256410256410256,0,0,0,38,39.7780801842353
20200306,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,4,14.9700598802395
20200306,S12000014,Falkirk,0,1,0.62154266890422,0.0121951219512195,0,0,0,81,50.3449561812418
20200306,S12000017,Highland,0,0,0,0,0,0,0,57,24.1699529321969
20200306,S12000018,Inverclyde,0,0,0,0,0,0,0,25,32.133676092545
20200306,S12000019,Midlothian,1,1,1.08154877784988,0.027027027027027,0,0,0,36,38.9357560025957
20200306,S12000020,Moray,0,2,2.08724692131079,0.0952380952380952,0,0,0,19,19.8288457524525
20200306,S12000021,North Ayrshire,0,1,0.742170105388155,0.0217391304347826,0,0,0,45,33.397654742467
20200306,S12000023,Orkney Islands,0,0,0,0,0,0,0,9,40.4131118096093
20200306,S12000026,Scottish Borders,0,0,0,0,0,0,0,44,38.0919400917669
20200306,S12000027,Shetland Islands,2,2,8.7260034904014,0.5,0,0,0,2,8.7260034904014
20200306,S12000028,South Ayrshire,0,0,0,0,0,0,0,21,18.6484326436373
20200306,S12000029,South Lanarkshire,1,1,0.311983277696316,0.00909090909090909,0,0,0,109,34.0061772688984
20200306,S12000030,Stirling,0,0,0,0,0,0,0,46,48.8270884194884
20200306,S12000033,Aberdeen City,0,1,0.437311409454673,0.0163934426229508,0,0,0,60,26.2386845672804
20200306,S12000034,Aberdeenshire,0,1,0.382833735308755,0.0166666666666667,0,0,0,59,22.5871903832166
20200306,S12000035,Argyll & Bute,0,0,0,0,0,0,0,18,20.9619191801561
20200306,S12000036,City of Edinburgh,1,3,0.571504772064847,0.0119047619047619,0,0,0,249,47.4348960813823
20200306,S12000038,Renfrewshire,0,0,0,0,0,0,0,68,37.9676158570631
20200306,S12000039,West Dunbartonshire,0,1,1.12447992803328,0.0217391304347826,0,0,0,45,50.6015967614978
20200306,S12000040,West Lothian,0,0,0,0,0,0,0,58,31.6766794101584
20200306,S12000041,Angus,0,1,0.860585197934596,0.0204081632653061,0,0,0,48,41.3080895008606
20200306,S12000042,Dundee City,0,0,0,0,0,0,0,40,26.7881060809001
