date,areaname,count
2020-04-12,Lothian,915
2020-04-12,Grampian,291
2020-04-13,Lanarkshire,784
2020-04-13,Shetland,45
2020-04-13,Highland,163
2020-04-13,Greater Glasgow and Clyde,1486
2020-04-13,Western Isles,6
2020-04-13,Tayside,812
2020-04-13,Orkney,5
2020-04-13,Lothian,932
2020-04-13,Grampian,313
2020-04-13,Fife,383
2020-04-13,Dumfries and Galloway,192
2020-04-13,Forth Valley,352
2020-04-13,Borders,204
2020-04-13,Ayrshire and Arran,390
2020-04-14,Forth Valley,367
2020-04-14,Lothian,989
2020-04-14,Orkney,5
2020-04-14,Shetland,45
2020-04-14,Greater Glasgow and Clyde,1575
2020-04-14,Fife,397
2020-04-14,Borders,208
2020-04-14,Tayside,826
2020-04-14,Ayrshire and Arran,416
2020-04-14,Lanarkshire,822
2020-04-14,Grampian,335
2020-04-14,Highland,168
2020-04-14,Dumfries and Galloway,199
2020-04-14,Western Isles,6
2020-04-15,Dumfries and Galloway,207
2020-04-15,Orkney,5
2020-04-15,Greater Glasgow and Clyde,1661
2020-04-15,Grampian,357
2020-04-15,Ayrshire and Arran,457
2020-04-15,Highland,180
2020-04-15,Lanarkshire,873
2020-04-15,Tayside,898
2020-04-15,Borders,215
2020-04-15,Fife,424
2020-04-15,Shetland,45
2020-04-15,Western Isles,6
2020-04-15,Forth Valley,380
2020-04-15,Lothian,1040
2020-04-16,Greater Glasgow and Clyde,1742
2020-04-16,Lothian,1107
2020-04-16,Ayrshire and Arran,503
2020-04-16,Tayside,937
2020-04-16,Dumfries and Galloway,207
2020-04-16,Forth Valley,400
2020-04-16,Western Isles,6
2020-04-16,Fife,446
2020-04-16,Borders,220
2020-04-16,Shetland,45
2020-04-16,Orkney,5
2020-04-16,Highland,184
2020-04-16,Grampian,389
2020-04-16,Lanarkshire,911
2020-04-17,Western Isles,6
2020-04-17,Dumfries and Galloway,209
2020-04-17,Lothian,1172
2020-04-17,Borders,229
2020-04-17,Orkney,5
2020-04-17,Ayrshire and Arran,536
2020-04-17,Grampian,394
2020-04-17,Forth Valley,431
2020-04-17,Highland,187
2020-04-17,Shetland,45
2020-04-17,Tayside,979
2020-04-17,Greater Glasgow and Clyde,1794
2020-04-17,Fife,488
2020-04-17,Lanarkshire,934
2020-04-18,Shetland,45
2020-04-18,Highland,193
2020-04-18,Tayside,1022
2020-04-18,Lothian,1239
2020-04-18,Lanarkshire,995
2020-04-18,Forth Valley,451
2020-04-18,Ayrshire and Arran,560
2020-04-18,Orkney,5
2020-04-18,Fife,514
2020-04-18,Grampian,432
2020-04-18,Dumfries and Galloway,222
2020-04-18,Greater Glasgow and Clyde,1905
2020-04-18,Western Isles,6
2020-04-18,Borders,231
2020-04-19,Western Isles,6
2020-04-19,Ayrshire and Arran,586
2020-04-19,Borders,237
2020-04-19,Highland,197
2020-04-19,Grampian,464
2020-04-19,Fife,532
2020-04-19,Forth Valley,509
2020-04-19,Dumfries and Galloway,229
2020-04-19,Shetland,51
2020-04-19,Greater Glasgow and Clyde,1949
