Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200306,S12000050,North Lanarkshire,0,1,0.292937282127896,0,0,0,94,27.5361045200223
20200307,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,33,64.0279394644936
20200307,S12000006,Dumfries & Galloway,0,0,0,0,0,0,94,63.1465806798334
20200307,S12000008,East Ayrshire,1,1,0.819604950413901,0,0,0,36,29.5057782149004
20200307,S12000010,East Lothian,0,0,0,0,0,0,43,40.153142216827
20200307,S12000011,East Renfrewshire,0,1,1.04679158379567,0,0,0,41,42.9184549356223
20200307,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,4,14.9700598802395
20200307,S12000014,Falkirk,0,1,0.62154266890422,0,0,0,84,52.2095841879545
20200307,S12000017,Highland,0,0,0,0,0,0,61,25.8660899800704
20200307,S12000018,Inverclyde,0,0,0,0,0,0,26,33.4190231362468
20200307,S12000019,Midlothian,0,1,1.08154877784988,0,0,0,41,44.3434998918451
20200307,S12000020,Moray,0,2,2.08724692131079,0,0,0,20,20.8724692131079
20200307,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,49,36.3663351640196
20200307,S12000023,Orkney Islands,0,0,0,0,0,0,7,31.4324202963628
20200307,S12000026,Scottish Borders,0,0,0,0,0,0,46,39.82339191412
20200307,S12000027,Shetland Islands,0,2,8.7260034904014,0,0,0,4,17.4520069808028
20200307,S12000028,South Ayrshire,0,0,0,0,0,0,22,19.5364532457153
20200307,S12000029,South Lanarkshire,0,1,0.311983277696316,0,0,0,118,36.8140267681652
20200307,S12000030,Stirling,0,0,0,0,0,0,50,53.0729221950961
20200307,S12000033,Aberdeen City,0,1,0.437311409454673,0,0,0,59,25.8013731578257
20200307,S12000034,Aberdeenshire,2,3,1.14850120592627,0,0,0,65,24.8841927950691
20200307,S12000035,Argyll & Bute,0,0,0,0,0,0,20,23.2910213112845
20200307,S12000036,City of Edinburgh,2,5,0.952507953441411,0,0,0,264,50.2924199417065
20200307,S12000038,Renfrewshire,0,0,0,0,0,0,72,40.2010050251256
20200307,S12000039,West Dunbartonshire,0,1,1.12447992803328,0,0,0,46,51.7260766895311
20200307,S12000040,West Lothian,0,0,0,0,0,0,65,35.4997269251775
20200307,S12000041,Angus,0,1,0.860585197934596,0,0,0,49,42.1686746987952
20200307,S12000042,Dundee City,0,0,0,0,0,0,41,27.4578087329226
20200307,S12000045,East Dunbartonshire,0,0,0,0,0,0,43,39.580265095729
20200307,S12000047,Fife,0,2,0.535403560433677,0,0,0,116,31.0534065051533
20200307,S12000048,Perth & Kinross,0,0,0,0,0,0,57,37.5123395853899
20200307,S12000049,Glasgow City,0,0,0,0,0,0,314,49.5956532726813
20200307,S12000050,North Lanarkshire,1,2,0.585874564255793,0,0,0,104,30.4654773413012
20200308,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,36,69.848661233993
20200308,S12000006,Dumfries & Galloway,0,0,0,0,0,0,100,67.1772134891845
20200308,S12000008,East Ayrshire,0,1,0.819604950413901,0,0,0,36,29.5057782149004
20200308,S12000010,East Lothian,0,0,0,0,0,0,43,40.153142216827
20200308,S12000011,East Renfrewshire,0,1,1.04679158379567,0,0,0,45,47.105621270805
20200308,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,5,18.7125748502994
20200308,S12000014,Falkirk,0,1,0.62154266890422,0,0,0,91,56.560382870284
20200308,S12000017,Highland,0,0,0,0,0,0,65,27.5622270279439
20200308,S12000018,Inverclyde,0,0,0,0,0,0,27,34.7043701799486
20200308,S12000019,Midlothian,0,1,1.08154877784988,0,0,0,45,48.6696950032446
20200308,S12000020,Moray,0,2,2.08724692131079,0,0,0,20,20.8724692131079
20200308,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,54,40.0771856909604
20200308,S12000023,Orkney Islands,0,0,0,0,0,0,7,31.4324202963628
20200308,S12000026,Scottish Borders,0,0,0,0,0,0,51,44.1520214700026
20200308,S12000027,Shetland Islands,0,2,8.7260034904014,0,0,0,5,21.8150087260035
20200308,S12000028,South Ayrshire,0,0,0,0,0,0,26,23.0885356540272
20200308,S12000029,South Lanarkshire,0,1,0.311983277696316,0,0,0,124,38.6859264343431
20200308,S12000030,Stirling,0,0,0,0,0,0,53,56.2572975268018
20200308,S12000033,Aberdeen City,0,1,0.437311409454673,0,0,0,63,27.5506187956444
20200308,S12000034,Aberdeenshire,1,4,1.53133494123502,0,0,0,68,26.0326940009954
20200308,S12000035,Argyll & Bute,0,0,0,0,0,0,23,26.7846745079772
20200308,S12000036,City of Edinburgh,2,7,1.33351113481798,0,0,0,277,52.7689406206542
20200308,S12000038,Renfrewshire,0,0,0,0,0,0,77,42.9927414852038
20200308,S12000039,West Dunbartonshire,0,1,1.12447992803328,0,0,0,48,53.9750365455977
20200308,S12000040,West Lothian,0,0,0,0,0,0,71,38.7766247951939
20200308,S12000041,Angus,0,1,0.860585197934596,0,0,0,49,42.1686746987952
20200308,S12000042,Dundee City,0,0,0,0,0,0,41,27.4578087329226
20200308,S12000045,East Dunbartonshire,0,0,0,0,0,0,46,42.3416789396171
20200308,S12000047,Fife,0,2,0.535403560433677,0,0,0,118,31.5888100655869
20200308,S12000048,Perth & Kinross,0,0,0,0,0,0,57,37.5123395853899
20200308,S12000049,Glasgow City,0,0,0,0,0,0,338,53.3864038412939
20200308,S12000050,North Lanarkshire,0,2,0.585874564255793,0,0,0,108,31.6372264698128
20200309,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,38,73.7291424136593
20200309,S12000006,Dumfries & Galloway,0,0,0,0,0,0,117,78.5973397823458
20200309,S12000008,East Ayrshire,0,1,0.819604950413901,0,0,0,42,34.4234079173838
20200309,S12000010,East Lothian,0,0,0,0,0,0,58,54.1600522924643
